web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620505704-10753,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/departamento/for-rent/,Departamento En Renta Amueblado Zona Sur Queretaro,12500,3,"2
                                    
                                
                                Baños",133
1620505660-10649,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,"DEPARTAMENTO EN RENTA EN CENTRAL PARK QUERÉTARO, GRAN DEPA DE 213 m2 3 RECAMARAS",23000,3,"2
                                    
                                
                                Baños",213
1620505636-10597,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,ESTRENE DEPARTAMENTO EN RENTA,20000,3,"2
                                    
                                
                                Baños",109
1620505853-11103,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,"Loft en Renta, en Milenio 3a. Sección, Querétaro",7500,1,"1
                                    
                                
                                Baño",40
1620505872-11176,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,"Departamento en Renta, Querétaro, Querétaro",13900,2,"2
                                    
                                
                                Baños",120
1620506008-11556,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,DEPARTAMENTO DE LUJO EN RENTA EN JURIQUILLA QUERETARO,18000,3,"2
                                    
                                
                                Baños",176
1620506008-11552,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento Amueblado Duplex en Juriquilla,15500,2,"2
                                    
                                
                                Baños",110
1620505891-11202,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,Departamento en Renta en El Refugio Queretaro,10500,3,"2
                                    
                                
                                Baños",107
1620505928-11305,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,Hermoso departamento en renta.LC,20500,3,"2
                                    
                                
                                Baños",106
1620505704-10750,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/departamento/for-rent/,Departamento en renta en paseos del bosque 2 recamaras y estudio,7800,2,"2
                                    
                                
                                Baños",80
1620505836-11086,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,RENTO DEPARTAMENTO AMUEBLADO EN MILENIO III,15000,3,"2
                                    
                                
                                Baños",120
1620505681-10692,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,DEPARTAMENTO EN REGENCY,37000,3,"5
                                    
                                
                                Baños",268
1620505979-11445,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento en Renta en PB con gran Jardin,15500,2,"2
                                    
                                
                                Baños",120
1620505704-10736,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/departamento/for-rent/,Departamento en renta amueblado en Bellavista Diamante Corregidora Queretaro,11000,2,"1
                                    
                                
                                Baño",90
1620505636-10616,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,DEPARTAMENTO EN RENTA EN CENTRAL PARK,16500,1,"1
                                    
                                
                                Baño",99
1620505836-11094,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,Renta depa a estrenar en condominio con excelentes amenidades JF,15000,3,"2
                                    
                                
                                Baños",125
1620506014-11564,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,Departamento en renta en juriquilla AQC,20000,3,"3
                                    
                                
                                Baños",184
